bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b38_V2,b38,V2,Thalamic_Radiation_Anterior_L : MeanLength,MeanLength,Thalamic_Radiation_Anterior_L,lgrg,0
b31_V10,b31,V10,Parietal_Aslant_Tract_R : TotalSurfaceArea,TotalSurfaceArea,Parietal_Aslant_Tract_R,lgrg,0
b23_V6,b23,V6,Inferior_Fronto_Occipital_Fasciculus_R : Diameter,Diameter,Inferior_Fronto_Occipital_Fasciculus_R,lgrg,0
b39_V22,b39,V22,Thalamic_Radiation_Anterior_R : dti_fa,dti_fa,Thalamic_Radiation_Anterior_R,lgrg,0
b5_V23,b5,V23,Cingulum_Frontal_Parietal_L : md,md,Cingulum_Frontal_Parietal_L,lgrg,0
b1_V1,b1,V1,Arcuate_Fasciculus_L : NumberOfTracts,NumberOfTracts,Arcuate_Fasciculus_L,lgrg,0
b25_V19,b25,V19,Inferior_Longitudinal_Fasciculus_R : IrregularityofEndRegion2,IrregularityofEndRegion2,Inferior_Longitudinal_Fasciculus_R,lgrg,0
b40_V13,b40,V13,Thalamic_Radiation_Inferior_L : Irregularity,Irregularity,Thalamic_Radiation_Inferior_L,lgrg,0
b24_V5,b24,V5,Inferior_Longitudinal_Fasciculus_L : Elongation,Elongation,Inferior_Longitudinal_Fasciculus_L,lgrg,4.720482
b42_V16,b42,V16,Thalamic_Radiation_Posterior_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Thalamic_Radiation_Posterior_L,lgrg,0
b39_V2,b39,V2,Thalamic_Radiation_Anterior_R : MeanLength,MeanLength,Thalamic_Radiation_Anterior_R,lgrg,0
b35_V12,b35,V12,Superior_Longitudinal_Fasciculus2_R : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Superior_Longitudinal_Fasciculus2_R,lgrg,0
b20_V25,b20,V25,Frontal_Aslant_Tract_L : rd,rd,Frontal_Aslant_Tract_L,lgrg,0
b17_V28,b17,V28,Corticospinal_Tract_R : rdi,rdi,Corticospinal_Tract_R,lgrg,0
b15_V17,b15,V17,Corpus_Callosum_Forceps_Minor : AreaOfEndRegion2,AreaOfEndRegion2,Corpus_Callosum_Forceps_Minor,lgrg,0
b30_V4,b30,V4,Parietal_Aslant_Tract_L : Curl,Curl,Parietal_Aslant_Tract_L,lgrg,0
b44_V9,b44,V9,Thalamic_Radiation_Superior_L : BranchVolume,BranchVolume,Thalamic_Radiation_Superior_L,lgrg,0
b20_V15,b20,V15,Frontal_Aslant_Tract_L : RadiusOfEndRegion1,RadiusOfEndRegion1,Frontal_Aslant_Tract_L,lgrg,0
b1_V12,b1,V12,Arcuate_Fasciculus_L : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Arcuate_Fasciculus_L,lgrg,0
b36_V19,b36,V19,Superior_Longitudinal_Fasciculus3_L : IrregularityofEndRegion2,IrregularityofEndRegion2,Superior_Longitudinal_Fasciculus3_L,lgrg,0
b10_V2,b10,V2,Cingulum_Parahippocampal_Parietal_R : MeanLength,MeanLength,Cingulum_Parahippocampal_Parietal_R,lgrg,0
b21_V9,b21,V9,Frontal_Aslant_Tract_R : BranchVolume,BranchVolume,Frontal_Aslant_Tract_R,lgrg,0
b49_V9,b49,V9,Vertical_Occipital_Fasciculus_R : BranchVolume,BranchVolume,Vertical_Occipital_Fasciculus_R,lgrg,0
b2_V10,b2,V10,Arcuate_Fasciculus_R : TotalSurfaceArea,TotalSurfaceArea,Arcuate_Fasciculus_R,lgrg,0
b44_V2,b44,V2,Thalamic_Radiation_Superior_L : MeanLength,MeanLength,Thalamic_Radiation_Superior_L,lgrg,0
b9_V15,b9,V15,Cingulum_Parahippocampal_Parietal_L : RadiusOfEndRegion1,RadiusOfEndRegion1,Cingulum_Parahippocampal_Parietal_L,lgrg,0
b38_V25,b38,V25,Thalamic_Radiation_Anterior_L : rd,rd,Thalamic_Radiation_Anterior_L,lgrg,0
b3_V7,b3,V7,Cingulum_Frontal_Parahippocampal_L : Volume,Volume,Cingulum_Frontal_Parahippocampal_L,lgrg,0
b12_V23,b12,V23,Cingulum_Rarolfactory_R : md,md,Cingulum_Rarolfactory_R,lgrg,0
